service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
service_shichirui_20260401_20260430,1,1,1,1,1,1,1,20260401,20260430
service_shichirui_20260501_20260506,1,1,1,1,1,1,1,20260501,20260506
service_shichirui_20260507_20260524,1,1,1,1,1,1,1,20260507,20260524
service_shichirui_20260525_20260529,1,1,1,1,1,1,1,20260525,20260529
service_shichirui_20260530_20260531,1,1,1,1,1,1,1,20260530,20260531
service_shichirui_20260601_20260717,1,1,1,1,1,1,1,20260601,20260717
service_shichirui_20260718_20260807,1,1,1,1,1,1,1,20260718,20260807
service_shichirui_20260808_20260816,1,1,1,1,1,1,1,20260808,20260816
service_shichirui_20260817_20260831,1,1,1,1,1,1,1,20260817,20260831
service_shichirui_20260901_20261009,1,1,1,1,1,1,1,20260901,20261009
service_shichirui_20261010_20261031,1,1,1,1,1,1,1,20261010,20261031
service_shichirui_20261101_20261108,1,1,1,1,1,1,1,20261101,20261108
service_shichirui_20261109_20261220,1,1,1,1,1,1,1,20261109,20261220
service_shichirui_20261221_20261231,1,1,1,1,1,1,1,20261221,20261231
service_sakaiminato_20260401_20260430,1,1,1,1,1,1,1,20260401,20260430
service_sakaiminato_20260501_20260506,1,1,1,1,1,1,1,20260501,20260506
service_sakaiminato_20260507_20260531,1,1,1,1,1,1,1,20260507,20260531
service_sakaiminato_20260601_20260717,1,1,1,1,1,1,1,20260601,20260717
service_sakaiminato_20260718_20260807,1,1,1,1,1,1,1,20260718,20260807
service_sakaiminato_20260808_20260816,1,1,1,1,1,1,1,20260808,20260816
service_sakaiminato_20260817_20260831,1,1,1,1,1,1,1,20260817,20260831
service_sakaiminato_20260901_20261009,1,1,1,1,1,1,1,20260901,20261009
service_sakaiminato_20261010_20261031,1,1,1,1,1,1,1,20261010,20261031
service_sakaiminato_20261101_20261108,1,1,1,1,1,1,1,20261101,20261108
service_sakaiminato_20261109_20261130,1,1,1,1,1,1,1,20261109,20261130
service_sakaiminato_20261201_20261220,1,1,1,1,1,1,1,20261201,20261220
service_sakaiminato_20261221_20261231,1,1,1,1,1,1,1,20261221,20261231
